Netzwerkforschung Sprecher,Quelle_Inst,function,activity,Zeitraum,Institution,spezifische Institution,SOFISwiki_Inst,SOFISwiki_instID
"Berli, Oliver",Uni Trier,Doktorant und wissenschaftlicher Mitarbeiter,Allgmeine Soziologie   ,2010/04-?,Universität Trier,Allgmeine Soziologie   ,Fach Soziologie Professur Allgemeine Soziologie (Trier),5278
"Berli, Oliver",Uni Trier,Wissenschaftlicher Mitarbeiter,Erziehungs- und Kultursoziologie / Lehrbereich Soziologie,? - ,Universität zu Köln,Erziehungs- und Kultursoziologie,Institut II für vergleichende Bildungsforschung und Sozialwissenschaften Professur für Erziehungs- und Kultursoziologie (Köln),28080
"Berli, Oliver",Uni Trier,Mitarbeiter,Sektion Wissenssoziologie,?,Deutsche Gesellschaft für Soziologie,Sektion Wissenssoziologie,Sektion Wissenssoziologie (Augsburg),70482
"Berli, Oliver",Uni Trier,Mitarbeiter,Sektion Methoden der Qualitativen Sozialforschung,?,Deutsche Gesellschaft für Soziologie,Sektion Methoden der Qualitativen Sozialforschung,Sektion Methoden der qualitativen Sozialforschung (Tübingen),70485
"Berli, Oliver",Uni Trier,Mitarbeiter,Sektion Soziale Ungleichheit,?,Deutsche Gesellschaft für Soziologie,Sektion Soziale Ungleichheit,Sektion Soziale Ungleichheit und Sozialstrukturanalyse (Bremen),31901
"Berndt, Thorsten",Uni Konstanz,Wissenschaftliche Hilfskraft,Unterstützung der Grundausbildung in den Methoden der empirischen Sozialforschung, 1995 - 1999,Universität Konstanz,Fachgruppe Soziologie,"FB Geschichte und Soziologie
Geisteswissenschaftliche Sektion (Konstanz)
Universität Konstanz (Konstanz)",70917
"Berndt, Thorsten",Uni Konstanz,Studium ,"Soziologie (Hauptfach), Geschichte und Philosophie (Nebenfächer); Abschluss Magister", 1994 - 2000,Universität Konstanz,n,Universität Konstanz (Konstanz),3332
"Berndt, Thorsten",Uni Konstanz,Wissenschaftlicher Mitarbeiter,Forschungstätigkeit im Bereich richterlichen Entscheidungshandelns mit Mitteln der qualitativen Sozialforschung,2000 - 2002,FernUniversität Hagen,"Lehrgebiet Öffentliches Recht, Rechtstheorie und Rechtssoziologie ","Rechtswissenschaftliche Fakultät
Fernuniversität Hagen (Hagen)",8522
"Berndt, Thorsten",Uni Konstanz,Forschungsassistent ,Vorbereitung des sozialwissenschaftlichen Teils eines Nationalfond-Projekts zur Situation der Richter in der Schweiz,2001 - 2002,Universität Freiburg in der Schweiz,"Rechtswissenschaftliche Fakultät, Strafrecht",n,n
"Berndt, Thorsten",Uni Konstanz,Lehrbeauftragter ,n,2001 - 2003,Universität Dortmund, Lehrstuhl für Allgemeine Soziologie Fachbereich 12 ,"Fak. 12 Erziehungswissenschaft und Soziologie
Technische Universität Dortmund (Dortmund)",23942
"Berndt, Thorsten",Uni Konstanz,Wissenschaftlicher Mitarbeiter,Forschungstätigkeit im Bereich des praktischen Umgangs von Richtern mit den ZPO- und BGB-Reformen mit Mitteln der qualitativen Sozialforschung,2002 - 2004, Heinrich Heine Universität Düsseldorf,rechtssoziologisches DFG-Projekt,Heinrich-Heine-Universität Düsseldorf (Düsseldorf),725814
"Berndt, Thorsten",Uni Konstanz,Lehrbeauftragter ,n,2005 - 2006 ,Universität Konstanz,Fachbereich Geschichte und Soziologie,"FB Geschichte und Soziologie
Geisteswissenschaftliche Sektion (Konstanz)
Universität Konstanz (Konstanz)",70917
"Berndt, Thorsten",Uni Konstanz,Wissenschaftlicher Mitarbeiter,Forschungs- und Antragstätigkeit für eine Panelbefragung zum Jurastudium an der Universität Bochum,2006 - 2007,Universität Bochum,"Lehrstuhl für Kriminologie, Kriminalpolitik und Polizeiwissenschaft ","Lehrstuhl für Kriminologie, Kriminalpolitik und Polizeiwissenschaft
Juristische Fakultät (Bochum)
Ruhr-Universität Bochum (Bochum)",25887
"Berndt, Thorsten",Uni Konstanz,Wissenschaftlicher Mitarbeiter,"Lehraufgaben (Lecturer) mit dem Schwerpunkt ""Allgemeine Soziologie"" ", Sommersemester 2007 -,Universität Konstanz,Fachgruppe Soziologie,"FB Geschichte und Soziologie
Geisteswissenschaftliche Sektion (Konstanz)
Universität Konstanz (Konstanz)",70917
"Berndt, Thorsten",Uni Konstanz,Promotion ,Abschluss mit „magna cum laude“, 2009 /08,Universität Konstanz,Fachbereich Geschichte und Soziologie,"FB Geschichte und Soziologie
Geisteswissenschaftliche Sektion (Konstanz)
Universität Konstanz (Konstanz)",70917
"Berndt, Thorsten",Uni Konstanz,Assistenzvertretung ,n,Sommersemester 2010 -Wintersemester 2010/2011 ,Universität Konstanz,Arbeitsbereich „Empirische Sozialforschung“ Prof. Dr. Thomas Hinz der Fachgruppe Soziologie des Fachbereichs Geschichte und Soziologie,"FB Geschichte und Soziologie, Geisteswissenschaftliche Sektion
Universität Konstanz (Konstanz)",70917
"Berndt, Thorsten",Uni Konstanz,Wissenschaftlicher Mitarbeiter,n,Sommersemester 2011,Projekt „Ethnische Diskriminierung im Wohnungsmarkt“ ,Arbeitsbereich „Empirische Sozialforschung“ Prof. Dr. Thomas Hinz,"Ethnische Diskriminierung auf dem deutschen Wohnungsmarkt: Ausmaß, Faktoren und Beitrag zur räumlichen Segregation",20108025
"Berndt, Thorsten",Uni Konstanz,Wissenschaftlicher Mitarbeiter,"Lehraufgaben (Lecturer) mit dem Schwerpunkt ""Allgemeine Soziologie"" und ""Qualitative Methoden"" ",Wintersemester 2011 / 2012 - ,Universität Konstanz,Fachgruppe Soziologie,"FB Geschichte und Soziologie
Geisteswissenschaftliche Sektion (Konstanz)
Universität Konstanz (Konstanz)",70917
"Bischoff, Andreas","Welcher Andreas Bischoff ist gemeint? Sehr häufiger Name, habe leider keinen direkten Soziologen oder Sozialwissenschaftler gefunden. Bei Xing beispielsweise diese Personen: https://www.xing.com/people/bischoff-andreas/",,,,,,,
"Boehnke, Klaus",Jacobs-University,Undergraduate study of English (major) and Russian (minor),University Education,1970-1975,n,n,n,n
"Boehnke, Klaus",Jacobs-University,Undergraduate study in Psychology (double major),University Education,1971-1980,"University of the Saarland, Saarbrücken; Ruhr-University Bochum; Berlin University of Technology",n,"Universität des Saarlandes (Saarbrücken); 
Ruhr-Universität Bochum (Bochum);
Technische Universität Berlin (Berlin)

","3345;
3301;
003192"
"Boehnke, Klaus",Jacobs-University,Doctoral dissertation,University Education,1985,n,n,n,n
"Boehnke, Klaus",Jacobs-University,Habilitation ,University Education; Venia legendi in psychology,1992,n,n,n,n
"Boehnke, Klaus",Jacobs-University,Tutor of Psychological Methodology,Research and Teaching Positions,1978-1981, Berlin University of Technology, Department of Psychology,"Institut für Psychologie und Arbeitswissenschaft
Fak. V Verkehrs- und Maschinensysteme (Berlin)
Technische Universität Berlin (Berlin)",20750
"Boehnke, Klaus",Jacobs-University,Elementary school teacher,Research and Teaching Positions,1980-1981,n,n,n,n
"Boehnke, Klaus",Jacobs-University,Research Scientist and Lecturer of Educational Psychology,Research and Teaching Positions,1981-1985,Berlin University of Technology,Department of Psychology ,"Institut für Psychologie und Arbeitswissenschaft
Fak. V Verkehrs- und Maschinensysteme (Berlin)
Technische Universität Berlin (Berlin)",20750
"Boehnke, Klaus",Jacobs-University,Guest Lecturer,Research and Teaching Positions,1987,"Australian National University in Canberra, Australia",Department of Psychology,"The Australian National University Canberra (Canberra)
",10026
"Boehnke, Klaus",Jacobs-University,Senior Guest Lecture,Research and Teaching Positions,1990-1992,"Humboldt University Berlin, Germany",Department of Educational Psychology,"Institut für Psychologie
Mathematisch-Naturwissenschaftliche Fakultät II (Berlin)
Humboldt-Universität Berlin (Berlin)",16358
"Boehnke, Klaus",Jacobs-University,Assistant and Associate Professor ,Research and Teaching Positions,1986-1993,"Free University of Berlin, Germany",Department of Education,"FB Erziehungswissenschaft und Psychologie
Freie Universität Berlin (Berlin)
",17725
"Boehnke, Klaus",Jacobs-University,Visiting Professor,Research and Teaching Positions,1997-1998,"University of Toronto, Canada"," Institute for Human Development, Life Course, and Aging ",n,n
"Boehnke, Klaus",Jacobs-University,Professor of Socialization Research and Methodology,Research and Teaching Positions,1993-2002,Chemnitz University of Technology,Department of Sociology,"Institut für Soziologie
Fak. für Human- und Sozialwissenschaften (Chemnitz)
Technische Universität Chemnitz (Chemnitz)",27565
"Boehnke, Klaus",Jacobs-University,Visiting Professor,Research and Teaching Positions,2008-2009,National University of Singapore,Department of Psychology,n,n
"Bohler, Karl Friedrich",Uni Jena,Diplom ,Soziologie,1981,?,?,,?
"Bohler, Karl Friedrich",DLG,Wissenschaftlicher Mitarbeiter,Fachbereich Gesellschaftswissenschaften,1982-1987,Goethe-Universität Frankfurt,Fachbereich Gesellschaftswissenschaften,FB 03 Gesellschaftswissenschaften (Frankfurt am Main),8797
"Bohler, Karl Friedrich",DLG,Promotion,"Dr. phil.; Dissertation: ""Der bäuerliche Geist Hohenlohes und seine Stellung im neuzeitlichen Rationaliserungsprozess""",1988,Goethe-Universität Frankfurt,Fachbereich Gesellschaftswissenschaften,FB 03 Gesellschaftswissenschaften (Frankfurt am Main),8797
"Bohler, Karl Friedrich",DLG,Habilitation,"Titel: ""Regionale Gesellschaftsentwicklung und Schichtungsmuster in Deutschland""",1994,Goethe-Universität Frankfurt,Fachbereich Gesellschaftswissenschaften,FB 03 Gesellschaftswissenschaften (Frankfurt am Main),8797
"Bohler, Karl Friedrich",DLG,Vertretung Professur,Soziologie,1994/1995,Humboldt-Universität Berlin,Landwirtschaftlich-Gärtnerische Fakultät,Landwirtschaftlich-Gärtnerische Fakultät (Berlin),13980
"Bohler, Karl Friedrich",DLG,Wissenschaftlicher Angestellter,,Zwischen 1988-2002,Goethe-Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Bohler, Karl Friedrich",DLG,Wissenschaftlicher Angestellter,,Zwischen 1988-2002,Philipps-Universität Marburg (Marburg),,Philipps-Universität Marburg (Marburg),3338
"Bohler, Karl Friedrich",DLG,Wissenschaftlicher Angestellter,,Zwischen 1988-2002,Friedrich-Schiller Universität Jena,,Friedrich-Schiller-Universität Jena (Jena),12487
"Bohler, Karl Friedrich",DLG,Wissenschaftlicher Angestellter,,Zwischen 1988-2002,Institut für Sozialarbeit und Sozialpädagogik -ISS- e.V.,,Institut für Sozialarbeit und Sozialpädagogik -ISS- e.V. (Frankfurt am Main),1787
"Bohler, Karl Friedrich",DLG,Vertretung Professur,Theoretische Soziologie,2003,Goethe-Universität Frankfurt,Fachbereich Gesellschaftswissenschaften,FB 03 Gesellschaftswissenschaften (Frankfurt am Main),8797
"Bohler, Karl Friedrich",DLG,Wissenschaftlicher Angestellter,"Sonderforschungsbereich 580 ""Gesellschaftliche Entwicklungen nach dem Systemumbruch. Diskontinuität, Tradition und Strukturbildung""",2003-em.,Friedrich-Schiller Universität Jena,Sozialisationstheorie und Mikrosoziologie,Institut für Soziologie Lehrstuhl für Sozialisationstheorie und Mikrosoziologie (Jena),18845
"Bohnsack, Ralf",Freie Universität Berlin,Soziologiestudium ,n,1967 - 1972,Westfälische Wilhelms-Universität Münster,Staatswissenschaftliche Fakultät,"Westfälische Wilhelms-Universität Münster (Münster)",3340
"Bohnsack, Ralf",Freie Universität Berlin,Soziologiestudium ,n,1967 - 1972,Universität Bielefeld, Fakultät für Soziologie,"Fak. für Soziologie
Universität Bielefeld (Bielefeld)",8592
"Bohnsack, Ralf",Freie Universität Berlin,Abschluss als Diplom-Soziologe ,n,1972,Universität Bielefeld,n,Universität Bielefeld (Bielefeld),3300
"Bohnsack, Ralf",Freie Universität Berlin,Wissenschaftliche Hilfskraft,Vorbereitung eines internationalen Kongresses zur Sprachsoziologie,1972 - 1975,Universität Bielefeld,Zentrum für Interdisziplinäre Forschung (ZIF) ,Universität Bielefeld (Bielefeld),3300
"Bohnsack, Ralf",Freie Universität Berlin,Graduiertenstipendium ,Erarbeitung eines Antrages für ein Forschungsprojekt,1972 - 1975,Universität Bielefeld,Fakultät für Soziologie,"Fak. für Soziologie
Universität Bielefeld (Bielefeld)",8592
"Bohnsack, Ralf",Freie Universität Berlin,Wissenschaftlicher Angestellter,n,1975 - 1977,Universität Bielefeld, Fakultät für Soziologie ,"Fak. für Soziologie
Universität Bielefeld (Bielefeld)",8592
"Bohnsack, Ralf",Freie Universität Berlin,Verwalter ,Verwalter der Dienstgeschäfte eines Wissenschaftlichen Assistenten,1977 - 1981, Friedrich-Alexander-Universität Erlangen-Nürnberg ," Institut für Soziologie;
Lehrstuhl Prof. Dr. Joachim Matthes","Institut für Soziologie – IfS
Philosophische Fakultät und Fachbereich Theologie (Erlangen)
Friedrich-Alexander-Universität Erlangen-Nürnberg (Erlangen)",8670
"Bohnsack, Ralf",Freie Universität Berlin,Promotion ,Dr. rer. soc.,1981,Universität Bielefeld,Fakultät für Soziologie,"Fak. für Soziologie
Universität Bielefeld (Bielefeld)",8592
"Bohnsack, Ralf",Freie Universität Berlin,Akademischer Rat a. Z.,n,1981 - 1990,Universität Erlangen-Nürnberg,Institut für Soziologie,"Institut für Soziologie – IfS
Philosophische Fakultät und Fachbereich Theologie (Erlangen)
Friedrich-Alexander-Universität Erlangen-Nürnberg (Erlangen)",8670
"Bohnsack, Ralf",Freie Universität Berlin,Habilitation ,Venia legendi: Allgemeine Soziologie,1987,Universität Erlangen-Nürnberg,Philosophischen Fakultät I,"Philosophische Fakultät und Fachbereich Theologie
Friedrich-Alexander-Universität Erlangen-Nürnberg (Erlangen)",8510
"Bohnsack, Ralf",Freie Universität Berlin,Universitätsprofessur ,n,1990 - ,Freie Universität Berlin,Fachbereich Erziehungswissenschaft und Psychologie,"FB Erziehungswissenschaft und Psychologie
Freie Universität Berlin (Berlin)",17725
"Bohnsack, Ralf",Freie Universität Berlin,Verantwortlich für die Organisation ,"Verantwortlich für die Organisation des Zusatzstudiums „Qualitative Methoden in den Sozialwissenschaften"" ",1991 - 1999,Freie Universität Berlin,n,"Freie Universität Berlin (Berlin)
",1255
"Bohnsack, Ralf",Freie Universität Berlin,Vorsitzender der Gemeinsamen Kommission,Vorsitzender der Gemeinsamen Kommission der beiden Fachbereiche Politik und Sozialwissenschaften sowie Erziehungswissenschaft und Psychologie,1991 - 1999,n,n,n,n
"Bohnsack, Ralf",Freie Universität Berlin,Gründung und Leitung,Gründung und Leitung des Arbeitsbereichs „Qualitative Bildungsforschung“,2001 -,Freie Universität Berlin,Fachbereich Erziehungswissenschaft und Psychologie ,"FB Erziehungswissenschaft und Psychologie
Freie Universität Berlin (Berlin)",17725
"Bohnsack, Ralf",Freie Universität Berlin,Mitglied im Vorstand ,n,2001 -,Universität Magdeburg,"ZBBS (Zentrum für qualitative Bildungs-, Beratungs- und Sozialforschung)",Otto-von-Guericke-Universität Magdeburg (Magdeburg),15397
"Bohnsack, Ralf",Freie Universität Berlin,Vertrauensdozent ,n,2002 -,Freie Universität Berlin,Deutsche Forschungsgemeinschaft (DFG) ,Freie Universität Berlin (Berlin),1255
"Bohnsack, Ralf",Freie Universität Berlin,Vorsitzender des Prüfungsausschusses,n,2003 -,Freie Universität Berlin,im Magisterstudiengang Erziehungswissenschaft,Freie Universität Berlin (Berlin),1255
"Bohnsack, Ralf",Freie Universität Berlin,Erster Vorsitzender,n,2005 -,ces (Centrum für qualitative Evaluations- und Sozialforschung),n,ces - centrum für qualitative evaluations- und sozialforschung e.V. (Berlin),31081
"Bohnsack, Ralf",Freie Universität Berlin,Gewählter Fachgutachter,,2008 - ,Deutsche Forschungsgemeinschaft (DFG) ,Fachkollegium 109: Erziehungswissenschaft,"FB Erziehungswissenschaft und Psychologie
Freie Universität Berlin (Berlin)",17725
"Bohnsack, Ralf",Freie Universität Berlin,Vorsitzender des Prüfungsausschusses,"Vorsitzender des Prüfungsausschusses im Masterstudiengang „Bildung, Kultur und Wissensformen“",2009 -,Freie Universität Berlin,Fachbereich Erziehungswissenschaft und Psychologie,"FB Erziehungswissenschaft und Psychologie
Freie Universität Berlin (Berlin)",17725
"Bohnsack, Ralf",Freie Universität Berlin,Vorsitzender des Prüfungsausschusses,Vorsitzender des Prüfungsausschusses im Masterstudiengang „Bildungswissenschaft“,2010 -,Freie Universität Berlin,Fachbereich Erziehungswissenschaft und Psychologie,"FB Erziehungswissenschaft und Psychologie
Freie Universität Berlin (Berlin)",17725
"Boldt, Thea",KWI Essen,Studium,"Kulturwissenschaften, Schwerpunkt: Kommunikations-, Film- und Fernsehwissenschaften ",?,Universität Krakau,,Jagiellonian University in Krakow (Krakau),11239
"Boldt, Thea",KWI Essen,Promotion,"Thema: ""Ethnische Identitäten und biographische Reinterpretationsprozesse. Eine Fallstudie zu biographischen Folgen der Migration am Beispiel von polnischen MigrantInnen in Deutschland""",2010,Georg-August Universität Göttingen,Sozialwissenschaftliche Fakultät,Sozialwissenschaftliche Fakultät (Göttingen),3964
"Boldt, Thea",KWI Essen,Mitarbeit in Forschung und Lehre,Qualitative Sozialforschung und Migrationsforschung,?,Georg-August Universität Göttingen,Sozialwissenschaftliche Fakultät,Sozialwissenschaftliche Fakultät (Göttingen),3964
"Boldt, Thea",KWI Essen,Wissenschaftliche Mitarbeiterin,"Leiterin Forschungsprojekt: ""Identities and Modernities in Europe""",2009-2012,Universität Duisburg-Essen,,Universität Duisburg-Essen Campus Essen (Essen),26398
"Boldt, Thea",KWI Essen,Wissenschaftliche Mitarbeiterin,"Leiterin Forschungsprojekt: ""Aktives Altern - Migration - Biographie""",2010-2012,Universität Duisburg-Essen,,Universität Duisburg-Essen Campus Essen (Essen),26398
"Boldt, Thea",KWI Essen,Wissenschaftliche Mitarbeiterin,"Leiterin Forschungsprojekt ""Kultur der Achtsamkeit. Empirische Untersuchung von interkulturellen Verschränkungen im Zuge der Verbreitung des Buddhismus in westlichen Industriegesellschaften.""",2012-2013,Universität Duisburg-Essen,,Universität Duisburg-Essen Campus Essen (Essen),26398
"Boldt, Thea",KWI Essen,Vertretung Professur,"Fachgebiet: Sozialwissenschaftliche Grundlegungen von Fallanalysen""",2013-2015,Universität Kassel,,Universität Kassel (Kassel),1308
"Boldt, Thea",KWI Essen,Fellow mit Habilitationsprojekt,"Thema: ""Verbreitung des Buddhismus im Westen""",2015-,KWI,,Kulturwissenschaftliches Institut Essen (Essen),10725
"Boll, Tobias",Uni Mainz,SoCuM Doktorand,n,2010-2012,n,n,n,n
"Boll, Tobias",Uni Mainz,Koordinator ,n,2013/04 -,Universität Mainz,DFG Forschergruppe 1939 Un/doing Differences,Johannes Gutenberg-Universität Mainz (Mainz),3336
"Bollig, Sabine",Uni Trier,Probestudium,ber beruflich qualifizierten Studieneinstieg im Diplomstudiengang Pädagogik,1996/10-1998/09,Universität Trier,,Universität Trier (Trier),3348
"Bollig, Sabine",Uni Trier,Studentische Hilfskraft,,Zwischen 1996/10 und 2004/10,Universität Trier,,Universität Trier (Trier),3348
"Bollig, Sabine",Uni Trier,Diplom-Studium,Pädagogik,1998/10-2005/03,Universität Trier,,Universität Trier (Trier),3348
"Bollig, Sabine",Uni Trier,Wissenschaftliche Hilfskraft,"Wissenschaftliche Hilfskraft im Dekanat des Fachbereichs I - Pädagogik, Philosophie und Psychologie, Koordinierung des Aufbaus der BA/MA-Studiengänge im Fachbereich",2005/04-2006/02,Universität Trier,Fachbereich Pädagogik,FB I (Trier),3998
"Bollig, Sabine",Uni Trier,Promotion,"Publikationsbasierte Dissertationsschrift: ""Entwicklungskindheit als Beobachtungsprojekt: Ethnographische Studien zu den Praktiken der Entwicklungsbeobachtung in kindermedizinischen Untersuchungen""",2013/09,Universität Bielefeld,,Universität Bielefeld (Bielefeld),3300
"Bollig, Sabine",Uni Trier,Wissenschaftliche Mitarbeiterin,"DFG-Projekt: ""Kinderkörper in der Praxis""",2006/02-2010/02,Goethe-Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Bollig, Sabine",Uni Trier,Wissenschaftliche Mitarbeiterin,"Fachbereich Erziehungswissenschaften, Institut für Pädagogik der Elementar- und Primarstufe, Lehr- und Forschungsschwerpunkt ""Kindheitsforschung""",2007/02-2012/02,Goethe-Universität Frankfurt,Institut für Pädagogik der Elementar- und Primarstufe WE II ,"Institut für Pädagogik der Elementar- und Primarstufe WE II AB Kindheitsforschung, Elementar- und Primarpädagogik (Frankfurt am Main)",6727
"Bollig, Sabine",Uni Trier,Wissenschaftliche Mitarbeiterin,,2012-2013/01,Université du Luxembourg,,Université du Luxembourg (Luxemburg),70666
"Bollig, Sabine",Uni Trier,Post-doctoral Researcher,"Forschungseinheit INSIDE, Forschergruppe ""Early Childhood: Education and Care""",2013/01-2016,Université du Luxembourg,,Université du Luxembourg (Luxemburg),70666
"Bollig, Sabine",Uni Trier,Projektleitung,"Forschungsprojekt ""CHILD""",2013-2015,Université du Luxembourg,,Université du Luxembourg (Luxemburg),70666
"Bollig, Sabine",Uni Trier,Vertretungsprofessorin,"Lehrgebiet Sozialpädagogik, Fach Erziehungs- und Bildungswissenschaften",2016/10 -,Universität Trier,Erziehungs- und Bildungswissenschaften,Fach Erziehungs- und Bildungswissenschaften Lehr- und Forschungseinheit Erziehungswissenschaft Abt. Sozialpädagogik II (Trier),726889
"Böttger, Andreas",http://www.arpos.de/andreas-boettger.html,"Studium Deutsch, Englisch und Philosophie für das Lehramt an Grund- und Hauptschulen",erste Staatsprüfung,1979,Pädagogischen Hochschule Niedersachsen,n,n,n
"Böttger, Andreas",http://www.arpos.de/andreas-boettger.html,Studium der Erziehungswissenschaften,Dipl.-Päd.,1984,Universität Hannover,n,"Gottfried Wilhelm Leibniz Universität Hannover (Hannover)
",3323
"Böttger, Andreas",http://www.arpos.de/andreas-boettger.html, zweite Staatsprüfung für das Lehramt an Grund- und Hauptschulen,n,1985,n,n,n,n
"Böttger, Andreas",http://www.arpos.de/andreas-boettger.html,Wissenschaftliche Mitarbeiterin,n,1986-1998 ,Kriminologisches Forschungsinstitut Niedersachsen,n,"Kriminologisches Forschungsinstitut Niedersachsen e.V. (Hannover)",2116
"Böttger, Andreas",http://www.arpos.de/andreas-boettger.html,Wissenschaftliche Mitarbeiterin,n,1986-1998 ,Fachhochschule Braunschweig/Wolfenbüttel ,n,"Fachhochschule Braunschweig-Wolfenbüttel (Wolfenbüttel)",12983
"Böttger, Andreas",http://www.arpos.de/andreas-boettger.html,Wissenschaftliche Mitarbeiterin,n,1986-1998 ,Universität Hildesheim,n,"Stiftung Universität Hildesheim (Hildesheim)

",1534
"Böttger, Andreas",http://www.arpos.de/andreas-boettger.html,Wissenschaftliche Mitarbeiterin,n,1986-1998 ,Universität Hannover,n,"Gottfried Wilhelm Leibniz Universität Hannover (Hannover)
",3323
"Böttger, Andreas",http://www.arpos.de/andreas-boettger.html,Promotionsstipendium ,Promotion,1992,Friedrich-Naumann-Stiftung,n,Friedrich-Naumann-Stiftung (Potsdam),1275
"Böttger, Andreas",http://www.arpos.de/andreas-boettger.html,Lehrbeauftragter ,n,1989 -1998,Universität Hannover,Fachbereich Erziehungswissenschaften ,"Institut für Erziehungswissenschaft
Philosophische Fakultät (Hannover)
Gottfried Wilhelm Leibniz Universität Hannover (Hannover)",21267
"Böttger, Andreas",http://www.arpos.de/andreas-boettger.html,Habilitation ,Venia legendi für Soziologie,1998,n,n,n,n
"Böttger, Andreas",http://www.arpos.de/andreas-boettger.html,Wissenschaftliche Mitarbeiterin,,1998-2001 ,Universität Bremen,"Sonderforschungsbereich 186 (""Statuspassagen und Risikolagen im Lebensverlauf"")","Universität Bremen (Bremen)",3303
"Böttger, Andreas",http://www.arpos.de/andreas-boettger.html,Lehrbeauftragter ,n,Wintersemester 1999/2000,Universität Bern,Philosophisch-Historischen Fakultät,"Philosophisch-historische Fak.
Universität Bern (Bern)",4593
"Breckner, Roswitha",Uni Wien,Diplom,"Soziologie, Geschichte, Psychologie",1986,Freie Universität Berlin,,Freie Universität Berlin (Berlin),1255
"Breckner, Roswitha",Uni Wien,Wissenschaftliche Mitarbeiterin,,1987-1989,Stadtplanungsamt Tiergarten,,n,n
"Breckner, Roswitha",Uni Wien,MItarbeiterin,Sektion Biographieforschung,1987/09 -,Deutsche Gesellschaft für Soziologie,Sektion Biographieforschung,Sektion Biographieforschung (Frankfurt am Main),70483
"Breckner, Roswitha",Uni Wien,Promotionsstipendiatin,,1990,Evangelisches Studienwerk,,Evangelisches Studienwerk e.V. Villigst (Schwerte),1043
"Breckner, Roswitha",Uni Wien,Wissenschaftliche Mitarbeiterin,"Institut für Soziologie, Abteilung Allgemeine Soziologie",1990-1995,Technische Universität Berlin,Institut für Soziologie Fachgebiet Allgmeine Soziologie,"Institut für Soziologie Fachgebiet Allgemeine Soziologie, insb. Theorie moderner Gesellschaften (Berlin)",23350
"Breckner, Roswitha",Uni Wien,"Methodologisch-methodische Projektberatungen und begleitende Projektentwicklungen, Projektmitarbeit und Lehrtätigkeit",,Zwischen 1996 und 2001,University of East London,,n,n
"Breckner, Roswitha",Uni Wien,"Methodologisch-methodische Projektberatungen und begleitende Projektentwicklungen, Projektmitarbeit und Lehrtätigkeit",,Zwischen 1996 und 2001,Central European University Budapest,,Central European University Budapest (Budapest),22727
"Breckner, Roswitha",Uni Wien,Promotion ,Dr. phil,2001,Technische Universität Berlin,,Technische Universität Berlin (Berlin),3192
"Breckner, Roswitha",Uni Wien,Vertretung Oberassistentenstelle ,Fachbereich Erziehungswissenschaften,2001,Martin-Luther-Universität Halle-Wittenberg,Fachbereich Erziehungswissenschaften,Philosophische Fakultät III Erziehungswissenschaften (Halle),30957
"Breckner, Roswitha",Uni Wien,Vertragsassistentin ,Allgemeine Soziologie und Wirtschaftssoziologie,2001-2004,WU Wien,,Wirtschaftsuniversität Wien (Wien),3523
"Breckner, Roswitha",Uni Wien,Mitarbeiterin,,2003/05,Deutsche Gesellschaft für Soziologie,Sektion Methoden der Qualitativen Sozialforschung,Sektion Methoden der qualitativen Sozialforschung (Tübingen),70485
"Breckner, Roswitha",Uni Wien,Research Fellow,,2003/10-2004/01,Internationales Forschungszentrum für Kulturwissenschaften,,,
"Breckner, Roswitha",Uni Wien,Universitätsassistentin,,2004-2010,Universität Wien,Institut für Soziologie,Institut für Soziologie (Wien),727140
"Breckner, Roswitha",Uni Wien,Mitarbeiterin,,2008/07 -,Deutsche Gesellschaft für Soziologie,Sektion Wissenssoziologie,Sektion Wissenssoziologie (Augsburg),70482
"Breckner, Roswitha",Uni Wien,Habilitation,,2009,Universität Wien,Fakultät für Sozialwissenschaften,Fak. für Sozialwissenschaften (Wien),28806
"Breckner, Roswitha",Uni Wien,W3-Vertretungsprofessur,Erziehungs- und Kultursoziologie,SoSe 2010,Universität zu Köln,Erziehungs- und Kultursoziologie,Institut II für vergleichende Bildungsforschung und Sozialwissenschaften Professur für Erziehungs- und Kultursoziologie (Köln),28080
"Breckner, Roswitha",Uni Wien,Assistenzprofessorin,Soziologie,2010-,Universität Wien,Institut für Soziologie,Institut für Soziologie (Wien),727140
"Breckner, Roswitha",Uni Wien,Assoziierte Professorin,Soziologie,2011-,Universität Wien,Institut für Soziologie,Institut für Soziologie (Wien),727140
"Breidenstein, Georg",Uni Halle,Studium,"Sozialwissenschaften, Geschichte, Kunst für das Lehramt Sek. I/II",1985–93,Universität Bielefeld,n,Universität Bielefeld (Bielefeld),3300
"Breidenstein, Georg",Uni Halle,Promotion ,n,1998,Universität Potsdam,Philosophischen Fakultät II ,"Universität Potsdam (Potsdam)",12013
"Breidenstein, Georg",Uni Halle,Referendariat ,n,1999,Seminar Bielefeld,n,n,n
"Breidenstein, Georg",Uni Halle,Wissenschaftlicher Mitarbeiter,n,1993-1997 ,Universität Bielefeld,DFG-Projekt „Prozesse politischer Sozialisation bei 9-12jährigen Jungen und Mädchen“,"Universität Bielefeld (Bielefeld)",3300
