,Quelle_Inst,function,activity,Zeitraum,Institution,spezifische Institution,SOFISwiki_Inst/Projekt,SOFISwiki_instID/Projekt-ID
"Esser, Hartmut","https://de.wikibooks.org/wiki/Soziologische_Klassiker/_Esser,_Hartmut",Lehraufträge ,n,1970-1974,RWTH Aachen,n,Rheinisch-Westfälische Technische Hochschule Aachen (Aachen),3189
"Esser, Hartmut","https://de.wikibooks.org/wiki/Soziologische_Klassiker/_Esser,_Hartmut",Lehraufträge ,n,1970-1974,Evangelischen Fachhochschule für Religions- und Sozialpädagogik in Düsseldorf,n,n,
"Esser, Hartmut","https://de.wikibooks.org/wiki/Soziologische_Klassiker/_Esser,_Hartmut",Diplom ,Volkswirt sozialwissenschaftlicher Richtung,1971,Universität Köln,n,Universität zu Köln (Köln),3327
"Esser, Hartmut","https://de.wikibooks.org/wiki/Soziologische_Klassiker/_Esser,_Hartmut",Promotion,Dr.rer.pol.,1974,Universität Köln,n,Universität zu Köln (Köln),3327
"Esser, Hartmut","https://de.wikibooks.org/wiki/Soziologische_Klassiker/_Esser,_Hartmut",Habilitation ,Titel der Habilitationsschrift: Assimilation und Integration. Eine handlungstheoretische Analyse des Eingliederungsprozesses von Wanderern.,1981,Ruhruniversität Bochum,n,Ruhr-Universität Bochum (Bochum),3301
"Esser, Hartmut","https://de.wikibooks.org/wiki/Soziologische_Klassiker/_Esser,_Hartmut",Akademischer Rat ,n,1974-1978,Ruhruniversität Bochum,n,Ruhr-Universität Bochum (Bochum),3301
"Esser, Hartmut","https://de.wikibooks.org/wiki/Soziologische_Klassiker/_Esser,_Hartmut",Wissenschaftlicher Rat und Professor ,n,1978-1982,Universität Duisburg GHS,n,Universität Duisburg-Essen Campus Duisburg (Duisburg),26395
"Esser, Hartmut","https://de.wikibooks.org/wiki/Soziologische_Klassiker/_Esser,_Hartmut", ordentlicher (o.) Professor,Empirische Sozialforschung,1982-1987,Universität Essen GHS,Empirische Sozialforschung,"Institut für Soziologie Lehrstuhl für Empirische Sozialforschung
Fak. für Gesellschaftswissenschaften (Duisburg)
Universität Duisburg-Essen Campus Duisburg (Duisburg)",29860
"Esser, Hartmut","https://de.wikibooks.org/wiki/Soziologische_Klassiker/_Esser,_Hartmut",Geschäftsführender Direktor,n,1985-1987,"ZUMA, Mannheim",n,"Zentrum für Umfragen, Methoden und Analysen (Mannheim)",3593
"Esser, Hartmut","https://de.wikibooks.org/wiki/Soziologische_Klassiker/_Esser,_Hartmut",Professor ,Soziologie ,1987-1991,Universität Köln,Soziologie ,"Forschungsinstitut und Seminar für Soziologie
Wirtschafts- und Sozialwissenschaftliche Fakultät (Köln)
Universität zu Köln (Köln)
",5678
"Esser, Hartmut","https://de.wikibooks.org/wiki/Soziologische_Klassiker/_Esser,_Hartmut",Professor ,Soziologie Wissenschaftslehre ,seit 1991,Universität Mannheim,Fakultät für Sozialwissenschaften,"Fak. für Sozialwissenschaften
Universität Mannheim (Mannheim)",9212
"Esser, Hartmut","https://de.wikibooks.org/wiki/Soziologische_Klassiker/_Esser,_Hartmut",Ablehnung einer Professur,n,1993,Universität Köln,Wirtschafts- und Sozialwissenschaftlichen Fakultät,"Wirtschafts- und Sozialwissenschaftliche Fakultät
Universität zu Köln (Köln)",9329
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,Studium," Soziologie, Volkswirtschaftslehre ",1965 - 1970 ,Universität Köln,n,Universität zu Köln (Köln),3327
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,Diplom-Examen,Volkswirt sozialwissenschaftlicher Richtung,1970,Universität Köln ,Wirtschafts- und Sozialwissenschaftliche Fakultät,"Wirtschafts- und Sozialwissenschaftliche Fakultät
Universität zu Köln (Köln)",9329
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,Promotion,Dr. rer. pol. ,1974, Universität zu Köln,Wirtschafts- und Sozialwissenschaftliche Fakultät,"Wirtschafts- und Sozialwissenschaftliche Fakultät
Universität zu Köln (Köln)",9329
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,Habilitationsstipendiat der Deutschen Forschungsgemeinschaft,n,1978/03-04,Deutschen Forschungsgemeinschaft,n,Deutsche Forschungsgemeinschaft (Bonn),9494
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Abbruch des zweijährigen Stipendiums nach Berufung auf eine
 C3-Professur",n,1978/03-04,Universität Duisburg GH,n,Universität Duisburg-Essen Campus Duisburg (Duisburg),26395
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,Habilitation,"venia legendi für „Soziologie und
Sozialwissenschaftliche Methodenlehre“;",1981/06,"RuhrUniversität
Bochum",Abteilung für Sozialwissenschaften,"Fak. für Sozialwissenschaft
Universität Bochum (Bochum)
Ruhr-Universität Bochum (Bochum)
",3849
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,Vertreter der Stelle eines wissenschaftlichen Assistenten , Seminar für Soziologie ,1970/12 -1974/03 , Universität zu Köln, Seminar für Soziologie ,"Forschungsinstitut und Seminar für Soziologie
Wirtschafts- und Sozialwissenschaftliche Fakultät (Köln)
Universität zu Köln (Köln)",5678
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,Lehraufträge, RWTH Aachen,1970 - 1974 , RWTH Aachen,n,Rheinisch-Westfälische Technische Hochschule Aachen (Aachen),3189
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,Lehraufträge,"Fachhochschule für Religions- und Sozialpädagogik in
Düsseldorf ",1970 - 1974 ,"Fachhochschule für Religions- und Sozialpädagogik in
Düsseldorf ",n,n,n
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,Wissenschaftlicher Angestellter, Abteilung für Sozialwissenschaften ,1974/04 - 1974/06 ,"Ruhr-Universität
Bochum", Abteilung für Sozialwissenschaften ,"Fak. für Sozialwissenschaft
Universität Bochum (Bochum)
Ruhr-Universität Bochum (Bochum)",3849
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,Akademischer Rat,Abteilung für Sozialwissenschaften,1974/07 -1978/03 , Ruhr Universität Bochum,Abteilung für Sozialwissenschaften,"Fak. für Sozialwissenschaft
Universität Bochum (Bochum)
Ruhr-Universität Bochum (Bochum)",3849
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,Vertretung einer H3-Professur,n,1974/10 -1975/03, RWTH Aachen,n,Rheinisch-Westfälische Technische Hochschule Aachen (Aachen),3189
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,Wissenschaftlicher Rat und Professor (C3),"Methoden
der Empirischen Sozialforschung ",1978/04 -1982/10 ,"Universität
Duisburg GH ","Methoden
der Empirischen Sozialforschung ","Institut für Soziologie Lehrstuhl für Empirische Sozialforschung
Fak. für Gesellschaftswissenschaften (Duisburg)
Universität Duisburg-Essen Campus Duisburg (Duisburg)",29860
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,Vertretung einer C4-Professur ,"Empirische
Sozialforschung",1980/10 - 1981/09 , Universität Essen GH ,"Empirische
Sozialforschung","Institut für Soziologie Lehrstuhl für Empirische Sozialforschung
Fak. für Gesellschaftswissenschaften (Duisburg)
Universität Duisburg-Essen Campus Duisburg (Duisburg)",29860
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,o. Professor ,Empirische Sozialforschung,1982/10 -1987/03,Universität Essen GH,"Empirische Sozialforschung, Fachbereich 1","Institut für Soziologie Lehrstuhl für Empirische Sozialforschung
Fak. für Gesellschaftswissenschaften (Duisburg)
Universität Duisburg-Essen Campus Duisburg (Duisburg)",29860
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,Geschäftsführender Direktor,"Zentrum für Umfragen,
Methoden und Analysen (ZUMA)",1985/03 - 1987/03 ,"Zentrum für Umfragen,
Methoden und Analysen (ZUMA) e.V., Mannheim",n,"Zentrum für Umfragen, Methoden und Analysen (Mannheim)",3593
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,o. Professor ,Soziologie,1987/04 - 1991/03 ,Universität Köln,"Wirtschafts- und
Sozialwissenschaftlichen Fakultät ","Wirtschafts- und Sozialwissenschaftliche Fakultät
Universität zu Köln (Köln)",9329
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,o. Professor,"Soziologie, Wissenschaftslehre",1991/04,"Universität
Mannheim ",Fakultät für Sozialwissenschaften,"Fak. für Sozialwissenschaften
Universität Mannheim (Mannheim)",9212
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Ruf an die Wirtschafts- und Sozialwissenschaftliche
Fakultät der Universität zu Köln (nicht angenommen)",n,1993/04,n,n,n,n
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastaufenthalte",n,1983/07 - 1984/05,"Institut für Höhere Studien, Wien ",n,n,n
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastaufenthalte",n,1984/10,"Zentrum für Umfragen, Methoden und Analysen (ZUMA)
e. V., Mannheim",n,"Zentrum für Umfragen, Methoden und Analysen (Mannheim)",3593
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastaufenthalte",n,1985/09,"Institute for Social Research, Ann Arbor, Michigan ",n,"Institute for Social Research – ISR
University of Michigan Ann Arbor (Ann Arbor)",781
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastaufenthalte",n,1985/09,"Indiana University, Bloomington ",n,n,n
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastaufenthalte",n,1988/09,"Berufung auf ein Fellowship an das Netherlands Institute
for Advanced Studies (NIAS), Wassenaar (nicht
angenommen) ",n,n,n
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastaufenthalte",n,1990/02,Universitäten Groningen und Utrecht ,n,n,n
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastaufenthalte",n,1992/01,Universität Leipzig, Fachbereich Soziologie ,"Institut für Soziologie
Fak. für Sozialwissenschaften und Philosophie (Leipzig)
Universität Leipzig (Leipzig)",12929
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastaufenthalte",n,1992/02,Graduierten-Kolleg Köln,n,"Cologne Graduate School in Management, Economics and Social Sciences – CGS
Wirtschafts- und Sozialwissenschaftliche Fakultät (Köln)
Universität zu Köln (Köln)",449
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastaufenthalte",n,1992/06,"Institut für Höhere Studien, Wien ",n,Institut für Höhere Studien (Wien),1721
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastaufenthalte",n,1999/01,"Max-Weber-Kolleg, Erfurt",n,"Max-Weber-Kolleg für kultur- und sozialwissenschaftliche Studien
Universität Erfurt (Erfurt)",21230
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastaufenthalte",n,1999/01,Universität Wien,Fachbereich Soziologie ,"Institut für Soziologie
Fak. für Sozialwissenschaften (Wien)
Universität Wien (Wien)",727140
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastaufenthalte",n,2000/12,Universität Zürich, Institut für Soziologie ,"Soziologisches Institut
Philosophische Fakultät (Zürich)
Universität Zürich (Zürich)",8145
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastaufenthalte",n,2001/12,Universität Bern, Institut für Soziologie ,"Department Sozialwissenschaften Institut für Soziologie
Wirtschafts- und Sozialwissenschaftliche Fakultät (Bern)
Universität Bern (Bern)",8563
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastaufenthalte","Master-Class „Social Capital, Framing and Investments:
Theoretical Foundations and Empirical Applications”",2003/11,"Royal Dutch Academy of Arts and Sciences, Amsterdam ","Master-Class „Social Capital, Framing and Investments:
Theoretical Foundations and Empirical Applications”",n,n
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastaufenthalte",n,2004/10 – 2005/02,Wissenschaftszentrum Berlin,n,Wissenschaftszentrum Berlin für Sozialforschung gGmbH (Berlin),8779
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastaufenthalte","Master-Class “Sociological Explanations - Theoretical
Tools and Empirical Applications of the (Extended)
Model of Sociological Explanation”",2006/03, Universität Utrecht,Faculty of Social and Behavioural Sciences ,n,n
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastaufenthalte",n,2007/01,"Oxford
University, Oxford ",Forschungsaufenthalt am Nuffield College,Nuffield College (Oxford),12646
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Gastprofessur
","Vorlesung und Seminar „Migration,
Integration und ethnische Konflikte“",2007/01,Universität Wien,Universität Wien,Universität Wien (Wien),3351
"Esser, Hartmut",http://legacy.iza.org/en/webcontent/personnel/vitae/esser_cv.pdf,"Forschungsaufenthalt
",n,2007/02," DIW (SOEP), Berlin ",n,Deutsches Institut für Wirtschaftsforschung -DIW Berlin- Forschungsbasierte Infrastruktureinrichtung Sozio-oekonomisches Panel -SOEP- (Berlin),13014
"Schimank , Uwe",http://www.socium.uni-bremen.de/ueber-das-socium/mitglieder/uwe-schimank/lebenslauf/de/,Diplom,Diplom-Soziologie,1979,Universität Bielefeld,n,Universität Bielefeld (Bielefeld),3300
"Schimank , Uwe",http://www.socium.uni-bremen.de/ueber-das-socium/mitglieder/uwe-schimank/lebenslauf/de/,Promotion,Dr. rer. soc.,1981,Universität Bielefeld,n,Universität Bielefeld (Bielefeld),3300
"Schimank , Uwe",http://www.socium.uni-bremen.de/ueber-das-socium/mitglieder/uwe-schimank/lebenslauf/de/,Habilitation,Soziologie,1994,Universität Bielefeld,n,Universität Bielefeld (Bielefeld),3300
"Schimank , Uwe",http://www.socium.uni-bremen.de/ueber-das-socium/mitglieder/uwe-schimank/lebenslauf/de/,Wissenschaftlicher Mitarbeiter,n,1981-1984,Universität Bielefeld,n,Universität Bielefeld (Bielefeld),3300
"Schimank , Uwe",http://www.socium.uni-bremen.de/ueber-das-socium/mitglieder/uwe-schimank/lebenslauf/de/,Forscher,n,1985-1996,Max-Planck-Institut für Gesellschaftsforschung,n,Max-Planck-Institut für Gesellschaftsforschung (Köln),2461
"Schimank , Uwe",http://www.socium.uni-bremen.de/ueber-das-socium/mitglieder/uwe-schimank/lebenslauf/de/,Gastforscher,n,2005,"Australian National University, Canberra",n,The Australian National University Canberra (Canberra),10026
"Schimank , Uwe",http://www.socium.uni-bremen.de/ueber-das-socium/mitglieder/uwe-schimank/lebenslauf/de/,Gastforscher,n,2007,"Centre de Sociologie des Organisations (CSO-CNRS), Paris",n,SciencesPo - Centre de Sociologie des Organisations (Paris),725948
"Schimank , Uwe",http://www.socium.uni-bremen.de/ueber-das-socium/mitglieder/uwe-schimank/lebenslauf/de/,Professor (C4),Sociology,1996-2009,FernUniversität in Hagen,Sociology,"Institut für Soziologie
Fak. für Kultur- und Sozialwissenschaften (Hagen)
Fernuniversität Hagen (Hagen)",20701
"Schimank , Uwe",http://www.socium.uni-bremen.de/ueber-das-socium/mitglieder/uwe-schimank/lebenslauf/de/,Professor (W3),Soziologie mit dem Schwerpunkt Soziologische Theorie,seit 2009,Universität Bremen,Soziologie mit dem Schwerpunkt Soziologische Theorie,"Institut für Soziologie Lehrstuhl Soziologische Theorie
FB 08 Sozialwissenschaften (Bremen)
Universität Bremen (Bremen)",69949
"Schimank , Uwe",http://www.socium.uni-bremen.de/ueber-das-socium/mitglieder/uwe-schimank/lebenslauf/de/,Gastforscher ,Forschungsgruppe „Postwachstumsgesellschaften“,2012,Universität Jena,Forschungsgruppe „Postwachstumsgesellschaften“,"Institut für Soziologie Kolleg Postwachstumsgesellschaften
Fak. für Sozial- und Verhaltenswissenschaften (Jena)
Friedrich-Schiller-Universität Jena (Jena)",72824
"Schimank , Uwe",http://www.socium.uni-bremen.de/ueber-das-socium/mitglieder/uwe-schimank/lebenslauf/de/,Gastforscher ,n,2015,Universität Uppsala,Institut für Soziologie,Uppsala University (Uppsala),11512
"Schimank , Uwe",Wikipedia,Habilitation,n,1994,Universität Bielefeld,n,Universität Bielefeld (Bielefeld),3300
"Schimank , Uwe",Wikipedia,Vertretungsprofessur,n,1994,Universität Mannheim,n,Universität Mannheim (Mannheim),3337
"Schimank , Uwe",Wikipedia,Vertretungsprofessur,n,1995-1996,Heinrich-Heine-Universität Düsseldorf,n,Heinrich-Heine-Universität Düsseldorf (Düsseldorf),725814
"Schimank , Uwe",Wikipedia,Professor,Soziologie,1996-2009,FernUniversität in Hagen,Soziologie,"Institut für Soziologie
Fak. für Kultur- und Sozialwissenschaften (Hagen)
Fernuniversität Hagen (Hagen)",20701
"Schimank , Uwe",Wikipedia,Mitarbeiter,n,seit 1985,Max-Planck-Institut für Gesellschaftsforschung (Köln),n,Max-Planck-Institut für Gesellschaftsforschung (Köln),2461
"Schimank , Uwe",Wikipedia,Professor,Soziologische Theorie,2009/10, Universität Bremen,Soziologische Theorie,"Institut für Soziologie Lehrstuhl Soziologische Theorie
FB 08 Sozialwissenschaften (Bremen)
Universität Bremen (Bremen)",69949
"Schimank , Uwe",Wikipedia,Mitglied  ,n,2014, Berlin-Brandenburgische Akademie der Wissenschaften,n,Berlin-Brandenburgische Akademie der Wissenschaften (Berlin),16511
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Studium,"Klassischen Philologie, Philosophie, Sport",1961 ‐ 1967  ,"Georg‐
August‐Universität Göttingen",n,Georg-August-Universität Göttingen (Göttingen),9292
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Studium,"Klassischen Philologie, Philosophie, Sport",1961 ‐ 1967  ,Albert‐Ludwigs‐Universität Freiburg,n,Albert-Ludwigs-Universität Freiburg (Freiburg im Breisgau),3314
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Studium,"Klassischen Philologie, Philosophie, Sport",1961 ‐ 1967  ,"Universität
Hamburg",n,Universität Hamburg (Hamburg),3322
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Studium,"Klassischen Philologie, Philosophie, Sport",,Eberhard Karls‐Universität Tübingen,n,Eberhard Karls Universität Tübingen (Tübingen),3349
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Wissenschaftlicher Mitarbeiter,n,1967 ‐ 1968 ,Technische Universität Berlin  ,Institut für Altertumskunde,Technische Universität Berlin (Berlin),3192
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Promotion,Klassische Philologie und Philosophie,1968  ,"Eberhard Karls‐Universität
Tübingen",n,Eberhard Karls Universität Tübingen (Tübingen),3349
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Wissenschaftlicher Assistent,n,1968 ‐ 1969 ,"Technische
Universität Berlin ",Institut für Altertumskunde,Technische Universität Berlin (Berlin),3192
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Studium,"Psychologie, Erziehungswissenschaft",1970 ‐ 1973 ,Julius-Maximilians-Universität Würzburg (Würzburg),n,Julius-Maximilians-Universität Würzburg (Würzburg),3353
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Studium,"Psychologie, Erziehungswissenschaft",1970 ‐ 1973 ,Freie Universität Berlin,n,Freie Universität Berlin (Berlin),1255
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Freien Universität Berlin,n,1972  ,"Universität
Würzburg  ",Seminar für klassische Philologie,"Institut für Deutsche Philologie Abt. Didaktik der Deutschen Sprache und Literatur
Philosophische Fakultät I Historische, Philologische, Kultur- und Geographische Wissenschaft (Würzburg)
Julius-Maximilians-Universität Würzburg (Würzburg)",6062
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Wissenschaftlicher Mitarbeiter,n,1975 ‐ 1991 ,"Max‐Planck‐Institut für Bildungsforschung in
Berlin ",n,Max-Planck-Institut für Bildungsforschung (Berlin),2458
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Habilitation,Erziehungswissenschaften,1982  ,Freien Universität Berlin ,n,Freie Universität Berlin (Berlin),1255
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Wissenschaftlicher Mitarbeiter,n,1975 ‐ 1991,"Max‐Planck‐Institut für Bildungsforschung in
Berlin  ",n,Max-Planck-Institut für Bildungsforschung (Berlin),2458
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Privatdozent,Erziehungswissenschaft,1983 ‐ 1989  ,Freie Universität Berlin,n,Freie Universität Berlin (Berlin),1255
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Apl. Professor,Erziehungswissenschaft,seit 1989  ,Freie Universität Berlin,n,Freie Universität Berlin (Berlin),1255
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Professor,Erziehungswissenschaften,1991 ‐ 1996  ,Christian‐Albrechts‐Universität Kiel,n,Christian-Albrechts-Universität zu Kiel (Kiel),3330
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Honorarprofessor,Erziehungswissenschaft,seit 1996 ,Humboldt‐Universität zu Berlin,,Humboldt-Universität Berlin (Berlin),12708
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Honorarprofessor,n,seit 2011  ,Christian‐Albrechts‐Universität Kiel,n,Christian-Albrechts-Universität zu Kiel (Kiel),3330
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Geschäftsführender Direktor,n,1989  ‐ 1999,Max‐Planck‐Instituts für Bildungsforschung,n,Max-Planck-Institut für Bildungsforschung (Berlin),2458
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Vorsitzender und Stellvertretender Vorsitzender,"“Arbeitsgruppe für Empirische
Pädagogische Forschung“ (AEPF)",1990  –  1994  ,"Deutschen Gesellschaft für
Erziehungswissenschaft","“Arbeitsgruppe für Empirische
Pädagogische Forschung“ (AEPF)",Deutsche Gesellschaft für Erziehungswissenschaft e.V. (Berlin),25808
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Direktor,"Erziehungswissenschaftliche Abteilung des Leibniz‐Instituts für die
Pädagogik der Naturwissenschaften (IPN)",1991 ‐ 1992,Christian‐Albrechts‐Universität in Kiel,"Erziehungswissenschaftliche Abteilung des Leibniz‐Instituts für die
Pädagogik der Naturwissenschaften (IPN)",Leibniz-Institut für die Pädagogik der Naturwissenschaften und Mathematik -IPN- an der Christian-Albrechts-Universität zu Kiel Abt. Erziehungswissenschaft (Kiel),1682
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Mitherausgeber,n,seit 1991  ,Zeitschrift für Unterrichtswissenschaft,n,n,n
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Geschäftsführender Direktor,"Leibniz‐Institut für die Pädagogik der
Naturwissenschaften (IPN)",1992 ‐ 1996 ,Christian‐Albrechts‐Universität in Kiel,"Leibniz‐Institut für die Pädagogik der
Naturwissenschaften (IPN)",Leibniz-Institut für die Pädagogik der Naturwissenschaften und Mathematik -IPN- an der Christian-Albrechts-Universität zu Kiel Abt. Erziehungswissenschaft (Kiel),1682
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Direktor,n,1996 ‐ 2010  ,Max‐Planck‐Instituts für Bildungsforschung in Berlin,n,Max-Planck-Institut für Bildungsforschung (Berlin),2458
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Mitherausgeber,n,seit 1998  ,Zeitschrift für Erziehungswissenschaft,n,n,n
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Vorsitzender,n,2003  ,Gutachterkommission „Elitenetzwerk Bayern”,n,"Freistaat Bayern Bayerisches Staatsministerium für Bildung und Kultus, Wissenschaft und Kunst Elitenetzwerk Bayern (München)",662
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Geschäftsführender Direktor,n,2003 ‐ 2005, Max‐Planck‐Instituts für Bildungsforschung,n,Max-Planck-Institut für Bildungsforschung (Berlin),2458
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Vorstandsmitglied,n,seit 2004 ,"Einrichtung der Länder der Bundesrepublik Deutschland an der Humboldt‐
Universität in Berlin",Institut für Qualitätsentwicklung im Bildungswesen (IQB),Humboldt-Universität Berlin (Berlin),12708
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Vorsitzender,n,seit 2006 ,"Expertenkommission zur Begutachtung der Lehrerausbildung in
Nordrhein‐Westfalen",n,n,n
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Vizepräsident,n,2006 ‐ 2008  ,Max‐Planck‐Gesellschaft,n,Max-Planck-Gesellschaft zur Förderung der Wissenschaften e.V. (München),2450
"Baumert, Jürgen",http://www.leopoldina.org/fileadmin/redaktion/Mitglieder/CV_Baumert_Juergen.pdf,Direktor emeritus,,seit 2010  ,Max‐Planck‐Instituts für Bildungsforschung in Berlin,n,Max-Planck-Institut für Bildungsforschung (Berlin),2458
